run_num,seq_num,latitude,longitude,movingSpeed,compassDirection,mobility_mode,trajectory_direction,tower_id,actual_nr_ssRsrp,predicted_nr_ssRsrp,error
1,195.0,44.97586175,-93.26049895,0.380343795,118,driving,CW,16,-79.0,-81.7777,2.7777023
1,196.0,44.9758614,-93.26049885,0.30100472,119,driving,CW,16,-79.0,-81.011215,2.0112152
1,197.0,44.97586165,-93.26049985,0.1308235569999999,124,driving,CW,16,-79.0,-80.46851,1.4685135
1,198.0,44.97586215,-93.26050125,0.0365148835,209,driving,CW,16,-79.0,-80.69496,1.6949615
1,199.0,44.9758625,-93.2605021,0.0364859965,292,driving,CW,16,-79.0,-81.59529,2.5952911
1,200.0,44.9758626,-93.26050245,0.033281324,295,driving,CW,16,-79.0,-81.86599,2.8659897
1,201.0,44.9758626,-93.2605025,0.0202366695,297,driving,CW,16,-79.0,-81.5459,2.5458984
1,202.0,44.97586255,-93.2605025,0.00924764275,275,driving,CW,16,-79.0,-81.043274,2.043274
1,203.0,44.97586255,-93.26050245,0.00351155815,155,driving,CW,16,-79.0,-80.84901,1.8490067
1,204.0,44.9758626,-93.2605024,0.00177014265,208,driving,CW,16,-79.0,-81.06693,2.0669327
1,205.0,44.9758626,-93.2605024,0.00121618725,344,driving,CW,16,-79.0,-81.41795,2.4179535
1,206.0,44.97586255,-93.2605024,0.00234978135,259,driving,CW,16,-79.0,-81.68697,2.6869736
1,207.0,44.9758625,-93.2605024,0.00354760745,185,driving,CW,16,-79.0,-81.83525,2.8352509
1,208.0,44.9758625,-93.2605024,0.0027982795,183,driving,CW,16,-79.0,-81.35535,2.3553467
1,209.0,44.9758625,-93.2605024,0.00157802565,182,driving,CW,16,-79.0,-80.59848,1.5984802
1,210.0,44.9758625,-93.2605024,0.00068761067,181,driving,CW,16,-79.0,-80.469894,1.4698944
1,211.0,44.9758625,-93.2605024,0.0002073654665,176,driving,CW,16,-79.0,-80.533615,1.5336151
1,212.0,44.9758625,-93.2605024,4.94748855e-05,91,driving,CW,16,-79.0,-80.87506,1.875061
1,213.0,44.9758625,-93.2605024,4.6123936000000006e-05,6,driving,CW,16,-79.0,-81.69722,2.6972198
1,214.0,44.9758625,-93.2605024,4.2879942e-05,3,driving,CW,16,-79.0,-81.38051,2.3805084
1,215.0,44.97586245,-93.2605023,0.004805454345,59,driving,CW,16,-79.0,-80.40006,1.4000626
1,216.0,44.97585845,-93.26049615,0.729621381,117,driving,CW,16,-79.0,-81.43097,2.4309692
1,217.0,44.97584985,-93.2604796,2.20288545,120,driving,CW,16,-78.0,-82.585106,4.585106
1,218.0,44.97583645,-93.26044955,3.6172829,120,driving,CW,16,-78.0,-81.90813,3.9081268
